t, camera, people
1s, 0, 1
2s, 0, 1
3s, 0, 1
4s, 0, 1
5s, 0, 1
6s, 0, 1
7s, 0, 3
8s, 0, 3
9s, 0, 3
10s, 0, 3
11s, 0, 3
12s, 0, 0
13s, 0, 0
14s, 0, 0
15s, 0, 0
16s, 0, 0
17s, 0, 0
18s, 0, 0
19s, 0, 0
20s, 0, 0
21s, 0, 2
22s, 0, 2
23s, 0, 2
24s, 0, 2
25s, 0, 2
26s, 0, 2
27s, 0, 2
28s, 0, 2
29s, 0, 2
30s, 0, 2
31s, 0, 2
32s, 0, 2
33s, 0, 1
34s, 0, 1
35s, 0, 1
36s, 0, 1
37s, 0, 1
38s, 0, 1
39s, 0, 1
40s, 0, 0
41s, 0, 0
42s, 0, 0
43s, 0, 0
44s, 0, 0
45s, 0, 0
46s, 0, 0
47s, 0, 0
48s, 0, 0
49s, 0, 0
50s, 0, 0
51s, 0, 0
52s, 0, 0
53s, 0, 0
54s, 0, 0
55s, 0, 0
56s, 0, 1
57s, 0, 1
58s, 0, 1
59s, 0, 1
60s, 0, 0
